   2933 
    125 IPR001680	WD40 repeat
      1 IPR001232	S-phase kinase-associated protein 1-like
      1 IPR001180	Citron homology (CNH) domain
      1 IPR001134	Netrin domain
      1 IPR001130	TatD family
      1 IPR001093	IMP dehydrogenase/GMP reductase
      1 IPR001014	Ribosomal protein L23/L25, conserved site
      1 IPR000917	Sulfatase, N-terminal
      1 IPR000801	Putative esterase
      1 IPR000749	ATP:guanido phosphotransferase
      1 IPR000629	ATP-dependent RNA helicase DEAD-box, conserved site
      1 IPR000571	Zinc finger, CCCH-type
      1 IPR000555	JAB1/MPN/MOV34 metalloenzyme domain
      1 IPR000542	Acyltransferase ChoActase/COT/CPT
      1 IPR000535	Major sperm protein (MSP) domain
      1 IPR000479	Cation-independent mannose-6-phosphate receptor repeat
      1 IPR000477	Reverse transcriptase domain
      1 IPR000451	NF-kappa-B/Dorsal
      1 IPR000435	Tektin
      1 IPR000403	Phosphatidylinositol 3-/4-kinase, catalytic domain
      1 IPR000375	Dynamin stalk domain
      1 IPR000357	HEAT repeat
      1 IPR000333	Ser/Thr protein kinase, TGFB receptor
      1 IPR000323	Copper type II, ascorbate-dependent monooxygenase, N-terminal
      1 IPR000312	Glycosyl transferase, family 3
      1 IPR000215	Serpin family
      1 IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain
      1 IPR000053	Thymidine/pyrimidine-nucleoside phosphorylase
